NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,null,800,t,24645,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO SÃO JERÔNIMO,RS,4318408,São Jerônimo
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46845,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE MONTENEGRO/RS,RS,4312401,Montenegro
Técnico,75,Técnico em Manutenção e Suporte em Informática,Informação e Comunicação,Educação Presencial,1000,t,46451,CENTRO UNIVERSITÁRIO FAEL - UNIFAEL - CAMPUS LAPA BOQUEIRÃO,PR,4113205,Lapa
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46787,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE CANGUÇU/RS,RS,4304507,Canguçu
Técnico,74,Técnico em Informática para Internet,Informação e Comunicação,Educação Presencial,1000,t,47244,FACULDADE SAPIENS - PORTO VELHO,RO,1100205,Porto Velho
Técnico,65,Técnico em Vendas,Gestão e Negócios,Educação Presencial,800,t,46610,"Centro Universitário de Ensino, Ciência e Tecnologia do Paraná (UniEnsino) - SEde",PR,4106902,Curitiba
Técnico,304427,TÉCNICO EM DESENVOLVIMENTO DE SISTEMAS,Informação e Comunicação,null,1200,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba
Técnico,9,Técnico em Farmácia,Ambiente e Saúde,Educação Presencial,1200,t,50123,FACULDADE ICESP - UNIDADE ÁGUAS CLARAS,DF,5300108,Brasília
Técnico,232050,Técnico em Cuidados de Idosos,Ambiente e Saúde,null,800,t,25099,UNIVERSIDADE FEEVALE - CAMPUS: SEDE,RS,4313409,Novo Hamburgo
